"","Country","life_exp_scaled","gni_scaled","yrs_sch_scaled","cluster"
"74","Germany",1.92235929011387,1.290515865733,0.890501329596692,"3"
"75","Ghana",1.42554352611497,1.41073691241373,0.659827476702376,"3"
"76","Gibraltar",1.97388794581676,0.0715180567908749,0.962692002813014,"4"
"77","Greece",2.15703679787927,0.499032999988101,0.58922179683004,"4"
"78","Greenland",1.23527065978344,1.72851526401994,1.35297016712903,"3"
"79","Grenada",2.55707257889769,1.38048814095578,1.41405374787498,"2"
"80","Guam",3.32993837827647,1.39450678572979,2.1827781853724,"2"
"81","Guatemala",2.07468671964924,1.9585186406688,2.12173046342103,"2"
"82","Guinea",1.73648932526191,1.40940582660752,1.74438268968036,"3"
"83","Guinea-Bissau",0.882534259736862,3.24108351622038,1.42321932958589,"1"
"84","Guyana",2.37450379834043,1.06199542367278,1.36177509251947,"2"
